Time,Longitude,Latitude,Altitude
2024-06-01 20:42:00,-5.683095514634934,-90.0,-6355226.540713017
2024-06-01 20:43:00,-3.141261636047252,-90.0,-6355576.654267777
2024-06-01 20:44:00,-0.6468986217338059,-90.0,-6355932.319485744
2024-06-01 20:45:00,1.8150234512791044,-90.0,-6356291.85762959
2024-06-01 20:46:00,4.2590267247100035,-90.0,-6356653.570924219
2024-06-01 20:47:00,6.699352069482972,90.0,-6356488.877767695
2024-06-01 20:48:00,9.150184538920023,90.0,-6356127.942749283
2024-06-01 20:49:00,11.625878679542028,90.0,-6355769.958174688
2024-06-01 20:50:00,14.141184843786595,90.0,-6355416.615855283
2024-06-01 20:51:00,16.71147702518307,90.0,-6355069.585589829
2024-06-01 20:52:00,19.352981164888636,90.0,-6354730.507121912
2024-06-01 20:53:00,22.08300002276597,90.0,-6354400.982259689
2024-06-01 20:54:00,24.9201260571858,90.0,-6354082.5672012
2024-06-01 20:55:00,27.88442655104244,90.0,-6353776.765106364
2024-06-01 20:56:00,30.99757444910771,90.0,-6353485.018952883
2024-06-01 20:57:00,34.28288279684051,90.0,-6353208.704712004
2024-06-01 20:58:00,37.765179237082506,90.0,-6352949.124876461
2024-06-01 20:59:00,41.47042945153791,90.0,-6352707.502368777
2024-06-01 21:00:00,45.42498673436225,90.0,-6352484.974856172
2024-06-01 21:01:00,49.654316122347176,90.0,-6352282.589493783
2024-06-01 21:02:00,54.18103146152501,90.0,-6352101.298116199
2024-06-01 21:03:00,59.02212115607524,90.0,-6351941.952892568
2024-06-01 21:04:00,64.18536413848574,90.0,-6351805.302458832
2024-06-01 21:05:00,69.66519240038902,90.0,-6351691.988538409
2024-06-01 21:06:00,75.43864392874409,90.0,-6351602.5430593565
2024-06-01 21:07:00,81.46247848147831,90.0,-6351537.385774775
2024-06-01 21:08:00,87.67277016780163,90.0,-6351496.822391761
2024-06-01 21:09:00,93.98804019256077,90.0,-6351481.043212108
2024-06-01 21:10:00,100.31608782928288,90.0,-6351490.122287551
2024-06-01 21:11:00,106.56336526022412,90.0,-6351524.017090755
2024-06-01 21:12:00,112.64468655194689,90.0,-6351582.568702752
2024-06-01 21:13:00,118.49091463882195,90.0,-6351665.50251646
2024-06-01 21:14:00,124.05312904693204,90.0,-6351772.429455199
2024-06-01 21:15:00,129.3030959154612,90.0,-6351902.847703972
2024-06-01 21:16:00,134.2309223975087,90.0,-6352056.1449504215
2024-06-01 21:17:00,138.84120203277604,90.0,-6352231.601130743
2024-06-01 21:18:00,143.14881975194956,90.0,-6352428.391674474
2024-06-01 21:19:00,147.17517904308434,90.0,-6352645.591240245
2024-06-01 21:20:00,150.94520078973937,90.0,-6352882.177932039
2024-06-01 21:21:00,154.485150192112,90.0,-6353137.037983819
2024-06-01 21:22:00,157.82119085477714,90.0,-6353408.97089662
2024-06-01 21:23:00,160.97850832912079,90.0,-6353696.695010147
2024-06-01 21:24:00,163.9808460318773,90.0,-6353998.853487557
2024-06-01 21:25:00,166.85032220646528,90.0,-6354314.020688559
2024-06-01 21:26:00,169.60742847759826,90.0,-6354640.708902645
2024-06-01 21:27:00,172.27113958954817,90.0,-6354977.375411173
2024-06-01 21:28:00,174.85908705469478,90.0,-6355322.429844772
2024-06-01 21:29:00,177.3877664748759,90.0,-6355674.241796902
2024-06-01 21:30:00,179.87276027830157,90.0,-6356031.148655072
2024-06-01 21:31:00,-177.6710343470913,90.0,-6356391.463605997
2024-06-01 21:32:00,-175.2291772732563,-90.0,-6356751.144718734
2024-06-01 21:33:00,-172.78745869760053,-90.0,-6356389.1300617065
2024-06-01 21:34:00,-170.33167364110813,-90.0,-6356028.831223998
2024-06-01 21:35:00,-167.84739662648,-90.0,-6355671.949855609
2024-06-01 21:36:00,-165.31975547728425,-90.0,-6355320.170754291
2024-06-01 21:37:00,-162.7332040238243,-90.0,-6354975.1537755495
2024-06-01 21:38:00,-160.07129539899094,-90.0,-6354638.525891091
2024-06-01 21:39:00,-157.3164608252107,-90.0,-6354311.873436281
2024-06-01 21:40:00,-154.4498040260092,-90.0,-6353996.7345895115
2024-06-01 21:41:00,-151.4509293362145,-90.0,-6353694.5921201855
2024-06-01 21:42:00,-148.29783340104353,-90.0,-6353406.866441788
2024-06-01 21:43:00,-144.96690713563194,-90.0,-6353134.909000611
2024-06-01 21:44:00,-141.43311740407202,-90.0,-6352879.996030537
2024-06-01 21:45:00,-137.6704663888341,-90.0,-6352643.3226984255
2024-06-01 21:46:00,-133.65285791936736,-90.0,-6352425.997662166
2024-06-01 21:47:00,-129.35552528982797,-90.0,-6352229.038060683
2024-06-01 21:48:00,-124.7571757404083,-90.0,-6352053.364951155
2024-06-01 21:49:00,-119.84295128304531,-90.0,-6351899.7992073335
2024-06-01 21:50:00,-114.60815174660948,-90.0,-6351769.057888158
2024-06-01 21:51:00,-109.06237931010064,-90.0,-6351661.751085845
2024-06-01 21:52:00,-103.23335908475757,-90.0,-6351578.379259272
2024-06-01 21:53:00,-97.1692901478728,-90.0,-6351519.331057155
2024-06-01 21:54:00,-90.93843986183101,-90.0,-6351484.881634611
2024-06-01 21:55:00,-84.6251001376411,-90.0,-6351475.191465162
2024-06-01 21:56:00,-78.32205561141808,-90.0,-6351490.305649662
2024-06-01 21:57:00,-72.12101026418539,-90.0,-6351530.153722915
2024-06-01 21:58:00,-66.10328093753539,-90.0,-6351594.549958147
2024-06-01 21:59:00,-60.33294979687351,-90.0,-6351683.194169002
2024-06-01 22:00:00,-54.85364909031747,-90.0,-6351795.673008125
2024-06-01 22:01:00,-49.688859502332534,-90.0,-6351931.461760691
2024-06-01 22:02:00,-44.844695201933035,-90.0,-6352089.926630329
2024-06-01 22:03:00,-40.313881417685614,-90.0,-6352270.327514003
2024-06-01 22:04:00,-36.07985509854547,-90.0,-6352471.821260812
2024-06-01 22:05:00,-32.120337919921724,-90.0,-6352693.465407745
2024-06-01 22:06:00,-28.41011557477225,-90.0,-6352934.222384353
2024-06-01 22:07:00,-24.923013523520783,-90.0,-6353192.964174749
2024-06-01 22:08:00,-21.633187889734597,-90.0,-6353468.477423836
2024-06-01 22:09:00,-18.51589004499229,-90.0,-6353759.468970905
2024-06-01 22:10:00,-15.547855140645964,-90.0,-6354064.571791279
2024-06-01 22:11:00,-12.707437086975059,-90.0,-6354382.351323337
2024-06-01 22:12:00,-9.974581304199337,-90.0,-6354711.312154236
2024-06-01 22:13:00,-7.330699167684843,-90.0,-6355049.905035199
2024-06-01 22:14:00,-4.758486663970829,-90.0,-6355396.534193767
2024-06-01 22:15:00,-2.2417141666893188,-90.0,-6355749.564906942
2024-06-01 22:16:00,0.23499661126823587,-90.0,-6356107.331295761
2024-06-01 22:17:00,2.6863997283996763,-90.0,-6356468.144301933
2024-06-01 22:18:00,5.126852107116472,90.0,-6356674.328689722
2024-06-01 22:19:00,7.570539470206423,90.0,-6356312.541683517
2024-06-01 22:20:00,10.031701576446476,90.0,-6355952.8327639345
2024-06-01 22:21:00,12.524857904584373,90.0,-6355596.9018824445
2024-06-01 22:22:00,15.065034717896571,90.0,-6355246.431144999
2024-06-01 22:23:00,17.667993408750537,90.0,-6354903.07670311
2024-06-01 22:24:00,20.350457858667614,90.0,-6354568.460784863
2024-06-01 22:25:00,23.13033490815061,90.0,-6354244.163909386
2024-06-01 22:26:00,26.026916237650518,90.0,-6353931.7173274895
2024-06-01 22:27:00,29.06104116775082,90.0,-6353632.595726894
2024-06-01 22:28:00,32.255186898910665,90.0,-6353348.210240596
2024-06-01 22:29:00,35.633434430587116,90.0,-6353079.901789841
2024-06-01 22:30:00,39.221233862390726,90.0,-6352828.934794265
2024-06-01 22:31:00,43.044862738401015,90.0,-6352596.491275529
2024-06-01 22:32:00,47.13043949622789,90.0,-6352383.665378646
2024-06-01 22:33:00,51.50233176723175,90.0,-6352191.458331376
2024-06-01 22:34:00,56.180807880187416,90.0,-6352020.773860522
2024-06-01 22:35:00,61.17885485994771,90.0,-6351872.414077792
2024-06-01 22:36:00,66.49827091829597,90.0,-6351747.07584968
2024-06-01 22:37:00,72.12546404127322,90.0,-6351645.347659182
2024-06-01 22:38:00,78.02781538157122,90.0,-6351567.706967964
2024-06-01 22:39:00,84.15184004789529,90.0,-6351514.518084395
2024-06-01 22:40:00,90.42441538461311,90.0,-6351486.030541982
2024-06-01 22:41:00,96.75777664613882,90.0,-6351482.377990986
2024-06-01 22:42:00,103.05781415511169,90.0,-6351503.577605327
2024-06-01 22:43:00,109.23392251902175,90.0,-6351549.530005688
2024-06-01 22:44:00,115.20798383137137,90.0,-6351620.019699023
2024-06-01 22:45:00,120.92044455438598,90.0,-6351714.716033666
2024-06-01 22:46:00,126.33262265904054,90.0,-6351833.174668546
2024-06-01 22:47:00,131.42565136752734,90.0,-6351974.839553898
2024-06-01 22:48:00,136.1972324006275,90.0,-6352139.045419238
2024-06-01 22:49:00,140.65749172948028,90.0,-6352325.020763781
2024-06-01 22:50:00,144.82492285171733,90.0,-6352531.891342251
2024-06-01 22:51:00,148.72296833213088,90.0,-6352758.684136191
2024-06-01 22:52:00,152.37742827752078,90.0,-6353004.331801184
2024-06-01 22:53:00,155.81466000370884,90.0,-6353267.677573741
2024-06-01 22:54:00,159.0604305607827,90.0,-6353547.480623782
